일시,지점,기상현상,일 최심신적설(cm)
2023-01-06,서울,눈,3.6
2023-01-15,서울,눈 진눈깨비,0.6
2023-01-16,서울,눈,-
2023-01-17,서울,눈,-
2023-01-18,서울,눈,-
2023-01-19,서울,눈 진눈깨비,-
2023-01-22,서울,눈,-
2023-01-24,서울,눈,-
2023-01-25,서울,눈,-
2023-01-26,서울,눈,4.5
2023-01-28,서울,눈,-
2023-02-10,서울,진눈깨비,-
2023-02-16,서울,눈,-
2023-02-19,서울,진눈깨비,-
2023-11-17,서울,눈,-
2023-11-28,서울,눈,-
2023-11-29,서울,눈,-
2023-12-02,서울,싸락눈,-
2023-12-16,서울,눈,1.0
2023-12-19,서울,눈,0.9
2023-12-20,서울,눈,1.2
2023-12-24,서울,눈,1.5
2023-12-25,서울,눈,3.0
2023-12-30,서울,눈 진눈깨비,12.2
2023-12-31,서울,눈 진눈깨비,-
